date,open,high,low,close,volume,amount
2021-01-04,4.7078486200,4.7359272400,4.6516913800,4.6704104600,18276698,91385716.2700
2021-01-05,4.6516913800,4.6516913800,4.4925792000,4.5206578200,28826555,139879083.0500
2021-01-06,4.5300173600,4.9699157400,4.3615456400,4.9699157400,66191279,336156455.7600
2021-01-07,5.0073539000,5.0728706800,4.7640058600,4.8201631000,40582197,213016725.9700
2021-01-08,4.7920844800,4.8108035600,4.6329723000,4.7733654000,23604273,118906270.6100
2021-01-11,4.7078486200,4.7359272400,4.5861746000,4.5955341400,19676777,97803326.4100
2021-01-12,4.6329723000,4.7172081600,4.5861746000,4.5955341400,16368966,80836691.1900
2021-01-13,4.5955341400,4.6984890800,4.4645005800,4.6423318400,21368043,104347293.6300
2021-01-14,4.6142532200,4.6891295400,4.5580959800,4.6423318400,12628062,62605074.7600
2021-01-15,4.6610509200,4.7546463200,4.6423318400,4.6797700000,13221777,66327946.5300
2021-01-18,4.6797700000,4.7265677000,4.6516913800,4.6610509200,12022214,60115771.6900
2021-01-19,4.6704104600,4.6984890800,4.6048936800,4.6610509200,15203299,75511813.6600
2021-01-20,4.6610509200,4.6891295400,4.5674555200,4.5955341400,16206669,79626651.9300
2021-01-21,4.5955341400,4.6236127600,4.5487364400,4.5768150600,14046648,68714763.6600
2021-01-22,4.5674555200,4.6704104600,4.4832196600,4.5861746000,18624309,90786680.1000
2021-01-25,4.6329723000,4.6329723000,4.4457815000,4.5206578200,20800284,100038596.6100
2021-01-26,4.5112982800,4.5112982800,4.3896242600,4.4083433400,14176941,67088506.5800
2021-01-27,4.3802647200,4.5768150600,4.3615456400,4.5019387400,19046968,90734187.2400
2021-01-28,4.4738601200,4.4832196600,4.4083433400,4.4177028800,10411480,49385919.3700
2021-01-29,4.4364219600,4.4457815000,4.2492311600,4.3521861000,16855433,78152640.6500
2021-02-01,4.3428265600,4.4177028800,4.3241074800,4.3709051800,10487331,48838123.3700
2021-02-02,4.3709051800,4.3896242600,4.3147479400,4.3241074800,7674168,35583632.0400
2021-02-03,4.3147479400,4.3241074800,4.1930739200,4.2305120800,13436927,60977644.2400
2021-02-04,4.2960288600,4.3521861000,4.1649953000,4.2024334600,14109850,63901785.9200
2021-02-05,4.1743548400,4.2305120800,4.1556357600,4.2117930000,10514630,47044839.3300
2021-02-08,4.2117930000,4.2305120800,4.1743548400,4.1837143800,8680372,38990591.8400
2021-02-09,4.1649953000,4.1930739200,4.1556357600,4.1837143800,9706025,43328885.5500
2021-02-10,4.1743548400,4.3241074800,4.1743548400,4.3053884000,13881721,63292917.9200
2021-02-18,4.3802647200,4.4832196600,4.3147479400,4.4551410400,17978250,84705703.8200
2021-02-19,4.4832196600,4.6797700000,4.4551410400,4.6610509200,27948635,137378911.1500
2021-02-22,4.6891295400,4.8482417200,4.6891295400,4.7078486200,40728290,207135384.9400
2021-02-23,4.7452867800,4.8014440200,4.6516913800,4.7452867800,25473905,128840165.0100
2021-02-24,4.7640058600,4.8108035600,4.7172081600,4.7640058600,19440356,98993873.2200
2021-02-25,4.7546463200,4.8201631000,4.7172081600,4.7640058600,15850828,80794579.6700
2021-02-26,4.7359272400,4.8201631000,4.7172081600,4.7733654000,15738387,79987939.2700
2021-03-01,4.7827249400,4.7827249400,4.6704104600,4.7546463200,17048256,86227415.7400
